,Q,A,label
0,아내분이 출산을 하시는군요. 정말 축하드려요.,아 지금 정말 신이 나.,2
1,재취업 후 첫 월급이라 정말 기쁘시겠어요.,퇴직 후 다시는 돈을 못 벌 줄 알았는데 이렇게 월급으로 가족에게 맛있는 밥을 살 수 있어서 너무 행복해.,2
2,기분 좋으시겠어요. 앞으로는 어떻게 하실 생각이신가요?,빚도 다 갚았으니 당분간은 아무 생각도 안 하며 살고 싶어.,2
3,이가 조금 썩기만 했는데도 임플란트를 해야 한다고 했다는 말씀이시군요.,예전에 다니던 치과에서는 심하지 않은 충치니까 관리만 하라고 했는데 말이야. 오히려 신뢰가 떨어지네.,2
4,답을 외워서 문제를 풀었군요.,칠판 앞까지 나가서 답을 틀리면 다들 나를 비웃을 게 뻔하니까. 그래서 답을 보고 외워서 문제를 풀었어.,2
5,남편분이 죽기 전에 소망을 이뤄서 다행이라 생각하시는군요.,살아서도 아주 예뻐하던 손자들인데 꼭 보고 싶다고 하니 마음에 걸렸는데 다행이야.,2
6,축하드려요. 당첨금은 어떻게 하실 예정인가요?,로또를 준 친구에게 일정 부분 나눠주고 나머지는 저축하려고해.,2
7,남편분이 돈을 가지고 집을 나가셔서 당황하셨군요. 조금 더 자세히 말씀해 주시겠어요?,돈 문제 때문에 평소에도 다툼이 있었어.,2
8,부모님께서 혼내기보다 오히려 위로를 해주셨군요. 정말 다행이에요.,사실 내가 열심히 공부한 것을 부모님께서 아셨나 봐. 결과보다는 과정이 중요하다고 하셨어.,2
9,남자친구가 생기셨군요. 자세히 말해 주시겠어요?,그 친구가 고백해서 사귀기로 했어. 이제 나도 커플이라 기뻐.,2
10,얼마 전에 면접 본 곳에서 합격했다는 소식을 듣게 되어 기쁘고 신나셨군요.,드디어 취준생 끝이다. 너무 좋아.,2
11,무슨 일이에요? 좀 더 자세히 설명해 주시겠어요?,아들이 코로나 검사를 받고 왔는데 다행히 음성이 나왔다고 하네.,2
12,친구 가족들과 함께 모인 자리인데 당황스러웠겠어요. 어떻게 됐나요?,친구가 다행스럽게 채널을 바꿔서 혐오스러운 상황이 지속하지 않고 넘어가게 되었답니다.,2
13,그 학생들에게 정당한 처벌이 내려 져서 기분이 좋겠어요.,응. 그 애들은 나뿐만 아니라 우리 반 친구들을 많이 괴롭혀서 혼나야 마땅했지.,2
14,걷기 운동으로 체중감량 효과를 보셨군요.,그럼. 일 년 걷는 동안 십 킬로는 빠졌다네.,2
15,무슨 일이 있으셨는지 구체적으로 설명해 주실 수 있을까요?,회사 일 층 로비를 걸어가다가 미끄러져서 넘어졌어. 거기에 직장 동료들이 정말 많았거든.,2
16,최신형 컴퓨터를 선물 받아 기쁘시군요.,응. 빨리 켜 보고 싶어,2
17,칭찬을 받으시다니 좋으시겠어요.,근데 영어 성적은 조금 떨어져서 혼날까 봐 걱정돼.,2
18,노후 준비를 해둬 정년이 두렵지 않으시군요.,정년까지 일할 수 있었음에 감사하고 앞으로 내가 하고 싶은 다른 것들을 할 수 있단 게 기뻐.,2
19,자녀 분들이 이제 모두 독립하셨나 봐요?,응. 그래서 이제는 나랑 와이프를 위해서 시간도 돈도 쓰려고.,2
20,보너스로 소고기를 먹을 생각을 해서 기쁘시군요!,응 이번 한 달이 유난히 바쁘고 힘들었거든. 이 소고기로 그 모든 시간을 보상받는 기분이야.,2
21,친구분 연애로 걱정이 많으셨나 봐요?,그간 친구 연애가 순탄하지 않았었거든.,2
22,요즘 코로나로 인해 일자리가 많이 부족하다고 느끼시는군요.,그래도 이때까지 준비한 게 있으니 자신 있어.,2
23,재혼하신 친구를 질투하시는군요.,어떻게 그런 남자를 만났는지 참 운도 좋지.,2
24,산책로가 생겨서 기쁘시겠어요.,혼자 산책할지 아내와 함께 산책할지 고민이야.,2
25,남자친구가 생겨서 기쁘신 것처럼 들려요.,아르바이트에서 만난 사람인데 나랑 아주 잘 맞아.,2
26,건강한 사람으로 뽑혀 좋으시군요.,그런데 관절염은 조금 염려가 돼.,2
27,주식이 올라서 기쁘시겠어요.,지인이 다른 곳에 투자하라고 했었는데 내가 하고 싶었던 이 기업에 투자한 게 잘한 것 같아.,2
28,혹시 간호사한테 떠넘긴 건가요?,근데 의사가 시킨 거야. 이렇게 될 줄 알았다면 안 했지.,2
29,휘트니스 센터가 있는 좋은 회사에 다니시네요. 건강까지 좋아지셨다니 기쁘시겠어요.,그렇지. 멀리 가지 않아도 건강관리를 할 수 있어서 참 편하고 좋아.,2
30,최신형 노트북을 갖게 되어 기쁘겠어요. 갖고 싶던 노트북이었나요?,응. 저렴하지 않은 가격인데도 아빠가 사주셨어.,2
31,대인관계에 만족하시는군요.,요즘 친구들이랑 사이가 좋아.,2
32,담임선생님과 상담이 심적으로 도움이 되고 있군요.,매번 불쑥 찾아가는데 감사하게도 항상 웃으면서 내 이야기를 들어줘.,2
33,오랫동안 취업 준비를 하던 친구분이 취업에 성공하셔서 너무 기쁘시군요.,동기들이 다 취직하는데 한 친구만 못하고 있으니 다들 걱정을 많이 했거든. 친구가 취업에 성공한 기념으로 동기들끼리 선물도 해주기로 했어!,2
34,화장실에 휴지가 없어서 너무 놀라셨겠어요.,다행히 친구가 휴지를 가져다줘서 해결되었어.,2
35,그렇군요. 가족들의 응원을 받아서 매우 기쁘시겠어요.,이제 그 응원에 힘입어 결과를 내야지.,2
36,보직변경에 해당하지 않아 안도하고 계시는군요.,난 지금 보직이 아주 마음에 들거든. 혹시 변경되면 어쩌나 걱정했는데 한시름 놓았어.,2
37,어떤 충격스러운 일이었는지 말씀해 주실 수 있으신가요?,오랜만에 친구들 모임에 나갔는데 친구 중 하나가 내가 너무 살이 쪘다는 거야.,2
38,아파도 가족들을 볼 수 있어 기쁘시군요.,한 자리에 모인 게 오랜만이라 그런지 더 기쁘네.,2
39,어떤 결정을 내렸는지 말씀해 주실 수 있으세요?,나는 먹는 것도 좋아하고 남들에게 요리해 주는 것도 좋아해서 요리사를 하려고.,2
40,경제적인 어려움이 없으셔서 좋으시겠어요.,누구에게 의지하지 않아도 되서 얼마나 다행인지.,2
41,여자친구를 매일 보고싶어 하시는군요.,여자친구와 마음이 너무 잘 맞아서 같이 있으면 편하거든. 오랫동안 사귀고 싶네.,2
42,왜 갑자기 눈물이 나왔어요?,요즘 친구들이 나를 따돌려서 마음이 힘들었거든.,2
43,어떤 면에서 그런 생각을 가지게 되었나요?,아이들과 말뿐만 아니라 생각이 통하면서 누구보다 함께하는 것이 즐거워.,2
44,딸아이 남자친구가 오는 날이군요. 기대되시겠어요.,첫인사인데 잘 준비하고 싶어.,2
45,축하의 인사를 보낸 모든 분들께 표현을 하고 싶으시군요.,잊지 않고 축하인사를 보내주셔서 너무 감동이었어.,2
46,내일부터 긴 연휴가 시작되어 신이 나시는군요.,그동안 업무가 많아서 휴가도 내지 못하고 정말 힘들었는데 긴 연휴라니 밀린 잠부터 잘 거야.,2
47,천식을 치료할 수 있게 되어 신나시겠어요.,천식 때문에 하지 못했던 마라톤대회도 천식이 다 나아지면 참가할 수 있게 되어 신이나.,2
48,다행이네요! 하나만 틀려서 아쉬웠을 텐데 안심되겠어요.,공부 열심히 했었는데 백 점을 못 맞아서 속상했는데 알고 보니 백 점이라서 정말 기뻐.,2
49,스스로가 부끄러우시군요. 무슨 일이 있으셨나요?,오늘 취업 면접을 봤어.,2
50,결혼해서 기분이 좋으시겠어요.,너무 좋은 사람 만난 것 같아서 정말 만족해.,2
51,옛날 얘기하시면서 편안한 시간을 가지셨겠네요.,그렇지. 지금 생각해보면 그때가 가장 행복했어.,2
52,코로나 검사 결과가 음성으로 나와 편안하시군요. 어쩌다 열이 많이 나게 되셨나요?,일교차가 커서 추웠는데 짧은 옷을 입고 다녔었거든. 몸을 따뜻하게 하지 않아서 열이 많이 났던 것 같아.,2
53,어떤 일 때문에 기분이 좋은 지 알고 싶어요.,건강검진 결과가 나왔는데 건강하다네.,2
