,Q,A,label
0,딸의 원망에 당황스럽고 죄책감을 느끼셨겠군요.,엄마로서 딸에게 해 준 게 하나도 없는 것 같아 괴로워.,1
1,주식 폭락으로 정신이 마비된 것 같은 느낌이시군요. 어떻게 하면 감정을 추스를 수 있을까요?,도통 어떻게 해야 할지 모르겠어. 주식이 다시 올라야 정신을 차릴 수 있을 것 같아.,1
2,고생하셨어요. 혹시 왜 그대로라고 생각하나요?,아무리 생각해도 모르겠어. 여러 방법을 사용해 봤는데 효과가 없어.,1
3,스스로 마음이 편치 않으시군요. 무엇 때문인지 자세히 알려주시겠어요?,간단한 일을 잘못 생각해서 엄청 헤맸어. 좀만 간단히 생각했어야 했는데.,1
4,속상하기도 하시고 복합적인 감정이 드시겠어요. 혹시 무슨 일이 있으셨던 건가요?,그런 건 아닌데 친구들이 내 연락을 피하는 것 같은 느낌이 들어. 나도 연락을 안 하다 보니 그런 기분이 들더라고.,1
5,월급이 그대로였다니 너무 실망스러우시겠어요.,맞아 정말 실망스럽기 그지없어. 월급이 올라야 결혼 자금을 모을 텐데.,1
6,성실하게 살았지만 주위에 사람이 없어 눈물을 흘리시는군요.,성실한 것과 주위에 사람이 있는 것은 차이가 있는 것이었어. 슬픔이 차오르네.,1
7,병원에 가보려고 하시는군요. 무슨 일이신가요?,아침에 운동하다가 다친 것 같아. 발목이 많이 아프네.,1
8,아들을 중심으로 생각하는 가족에게 환멸을 느끼고 계시는군요.,맞아. 나도 사람이고 서러움을 느낀다고 부모님께 말씀드릴 거야.,1
9,배신한 친구 때문에 너무 속상하겠어요.,믿었던 친구도 이렇게 배신을 하는데 믿을 수 있는 사람이 있겠어? 너무 슬프다.,1
10,친구들에게 비통한 감정을 느꼈나 보군요.,내가 변한 건지 친구들이 변한 건지는 알 수 없지만 뭔가 예전 같지 않았던 것 같아.,1
11,무슨 일 있으신가요?,젊을 때 노느라고 모아놓은 돈이 없어 지금 치료비가 없어 치료를 못 받아.,1
12,직업 때문에 걱정이 많이 되겠어요.,남은 인생을 뭐하고 살아야 할지 막막하고 우울해.,1
13,사람들을 믿지 못해 힘들고 마음이 아프시겠어요.,왜 나는 사람들을 믿을 수 없는 걸까 생각하니 마음이 답답하고 눈물이 나.,1
14,주식 폭락으로 괴로우시군요. 이런 상황을 극복할 방법이 없을까요? ,이제 아무것도 못 할 것 같아. 모든 게 마비된 것 같아. ,1
15,시댁에서 의지할 사람이 없어서 외로우시겠어요.,남편도 나를 잘 도와주지 않아서 더 힘든 것 같아.,1
16,병원비를 내야 하는데 굉장히 막막하실 것 같아요.,이젠 스스로 돈 벌 힘도 없고 어떻게 해야 할지.,1
17,미래에 금전적인 걱정이 크시군요.,용돈보다도 언제 몸이 아파 큰돈이 들어야 할지 모를 일이니 하는 말이지.,1
18,여자 친구에게 액세서리를 사줄 수 없어 속상했겠어요.,너무 속상해. 여자 친구가 생일인데도 난 돈이 없어 생일 선물도 제대로 해 줄 수 없어.,1
19,따님 결혼식 때문에 많이 초조해 보이세요.,생애 단 한 번뿐인 결혼식에 엄마가 안 갈 수가 있나.,1
20,상심이 크시겠어요.,따돌림을 벗어나질 못할 거 같아.,1
21,친구들 전화가 자주 안 와서 그런 기분이 드셨나요?,그렇지. 맨날 광고 전화나 쓸데없는 카톡이나 오고 인생이 덧없이 슬프구먼.,1
22,부모님께 화를 냈군요.,그러다 엄마가 눈물을 흘리셔서 나도 너무 마음이 아파서 울었어.,1
23,시어머니 말씀 때문에 죄책감이 드시나 봐요.,그 나이 때만 해도 아들로 대를 이어야 한다는 생각을 하던 세대니깐 어머니를 이해해도 막상 어머니를 보기는 싫어.,1
24,마음과 머릿속이 복잡하겠네요. 많이 실망스러운 일이 있었나요?,내 앞에서는 항상 웃어주고 칭찬만 해줬는데 뒤에서는 나를 평가하고 욕하고 있었어. ,1
25,자식들에게 미안한 마음이 드시는군요. 조금 더 자세히 말씀해 주시겠어요?,자식들이 내 재산을 탐내는 게 눈에 보이는데 자식들도 사정이 안 좋아서 그러는 거라 슬퍼.,1
26,어떤 이유로 화가 나시나요?,알고 보니 노력 하나 없이 아버지 회사에 낙하산으로 들어갔더라고.,1
27,김 부장이 오늘 모욕감을 주어 화가 났군요.,내가 해온 업무가 마음에 들지 않는다고 직원들 앞에서 내게 욕을 했어.,1
28,부모님이 사과하시는 모습을 보고 많이 힘드시겠어요.,너무 부끄럽고 죄송해서 부모님을 보지 못하겠고 너무 우울해.,1
29,여자 친구와 헤어지지 못한 게 후회되시나 보군요. 왜 그런지 물어봐도 될까요?,예전에 외도를 목격해서 싸우고 다시 만났는데 또 외도의 현장을 목격했거든,1
30,일자리를 혼자 구하지 못해서 열등감이 드시는군요.,왜 그럴까 너무 속상하고 자꾸 친구가 부러워져.,1
