,Q,A,label
0,약 종류가 많아 번거로우시겠어요.,건강할 때 관리 좀 잘할걸 하는 생각이 들더라고.,0
1,무슨 일 있으셨나요?,나이가 예순이 넘으니 돈이 나갈 데도 많고 힘드네.,0
2,괴롭힘을 당해 힘든데도 부모님과 선생님께서 믿어주지 않아서 정말 마음 아프겠네요.,너무 화도 나고 좌절한 상태야. 학교 다니기가 싫어.,0
3,친구 때문에 눈물이 나시는군요. 무슨 일이세요? ,내 친구가 나한테 거짓말했어.,0
4,그래서 어떤 기분이 드셨나요?,내 속에서 분노가 치밀어 오르더라고.,0
5,빨리 정년퇴직하고 공기 좋은 시골로 내려가서 살고 싶으시군요.,근데 아내는 시골로 내려가는 걸 반대해. 어떻게 해야 좋을지 모르겠어.,0
6,나이가 많아서 프로젝트를 맡지 못했군요. 화가 나시겠어요.,나도 프로젝트를 잘 할 수 있는데 참여하고 싶어.,0
7,중년의 신입이 입사해 불편하셨군요.,낙하산으로 들어온 건가 싶었지. 그래서 퉁명스럽게 대했어.,0
8,무엇 때문에 짜증이 나시는지 여쭤볼 수 있을까요?,엄마가 자꾸 의사가 되었으면 좋겠대. 근데 나는 아이돌이 되고 싶어 엄마를 설득시키고 싶은데 그게 잘 안 돼.,0
9,돈을 벌어야하는데 마음대로 안 되셔서 엄청 짜증나시겠어요.,맞아. 부동산이랑 주식 모든 게 내 뜻대로 안 돼.,0
10,병에 걸려서 힘들고 화가 난 것 같아요. 이제 어떻게 해야 할까요?,다른 병원에서 검사를 다시 받아야겠어! 내게 이럴 수는 없어!,0
11,무슨 일 있었나 보네요. 학원을 아예 가지 않았던 거예요?,이 녀석이 학원을 간다고 아내한테 이야기하고서는 매일 게임방을 다녔대. 학업도 걱정이지만 인간적으로 정말 배신감 느껴.,0
12,어머니의 발언에 기분이 상하셨나 보네요. 뭐라고 하시던가요?,남자가 여자가 되고 싶어 하는 것은 변태라고 생각하시는 게 너무 못나 보였어.,0
13,과잉 진료 때문에 임플란트를 하게 되어 큰돈을 지불하게 되셨군요.,아직 괜찮은 것 같은데 임플란트를 하라고 해서 이상하게 생각했었는데. 너무 큰돈이 나가서 억울할 따름이야.,0
14,아이 낳고 키우는 일이 쉽지 않은 과정이라 많이 고민되시겠어요.,그렇다고 아이 없이 평생 아내와 살 수도 없지.,0
15,많이 아쉬웠겠어요.,아내는 왜 자꾸 친구를 못 만나게 하는 거지?,0
16,땀냄새 많이 나는 직원 때문에 많이 괴로우시겠어요.,다른 직원들이 오죽하면 좀 씻으라고 얘기를 했겠어. 근데 씻는 게 귀찮아서 매일 샤워를 안 한다네.,0
17,아이를 낳기 싫은 이유가 있나요?,아이를 키우면 돈이 너무 많이 들잖아.,0
18,학교에서 혼자가 된 기분이 정말 속상하시겠어요.,맞아. 친구들이 말도 안 걸어주고 계속해서 괴롭혀.,0
19,아내와의 마찰로 힘드시겠어요.,반려견에 신경 쓰다 보면 아내와 부딪칠 일이 줄어드는 것 같아.,0
20,회사 일에 대해 회의감을 느끼시는군요.,이 회사에 있은 지 벌써 십 오 년이나 지났어. 지루하고 답답한 거 같아.,0
21,노후준비를 위해 모아놓은 돈을 남편이 사업자금으로 다 잃으셨다니 너무 안타깝네요. ,남은 재산이라도 챙겨서 내 노후라도 대비해야지. 이 사람이 대체 무슨 생각으로 그 돈에 손을 댄 거야! ,0
